,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price per Liter mean,Zip Code,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
17,2413,DUBUQUE,836101.13,186.297043226,31,17.4726448307,52001,54200.61,12.0767847594,62.1990040107,204237.78,15689.8,2015-01-06,2015-06-09
18,2445,OAKLAND,71682.86,42.6683690476,78,14.606337447,51560,6258.16,3.7250952381,14.2518095238,16939.15,48545.69,2015-01-07,2016-03-29
19,2448,INDIANOLA,203110.5,48.0734911243,91,17.3444642659,50125,13565.32,3.21072662722,16.0432686391,55498.12,16320.74,2015-01-06,2016-03-29
20,2459,GUTHRIE CENTER,79026.65,75.2634761905,39,14.5392448115,50115,6605.52,6.29097142857,25.1911714286,15983.98,53182.55,2015-01-05,2016-03-28
21,2460,HAMPTON,301765.14,94.5972225705,35,17.3673502585,50441,23717.08,7.43482131661,31.7530658307,71758.66,30402.43,2015-01-05,2016-03-28
22,2465,DUBUQUE,264728.41,69.3550982447,31,21.109743671,52003,16704.05,4.37622478386,23.1614514016,62988.17,47217.4,2015-01-05,2015-12-26
23,2475,WEST BEND,121763.29,145.475854241,55,14.6789957046,50597,10871.72,12.9889127838,48.8207407407,29637.75,6367.76,2015-01-07,2016-03-29
24,2478,ALTOONA,198550.4,219.63539823,77,23.1293325959,50009,10574.5,11.6974557522,73.2315044248,48759.71,329252.09,2015-01-06,2016-03-29
25,2487,ANAMOSA,293643.02,69.9649797474,53,16.0751024515,52205,25035.84,5.96517512509,23.4503335716,89736.7,332976.05,2015-01-05,2016-03-28
26,2498,ARLINGTON,27453.07,42.1706144393,33,13.0628339185,50606,2568.34,3.94522273425,14.1447926267,5577.61,234926.02,2015-01-05,2015-11-02
27,2500,AMES,1355085.92,108.903473439,85,18.9650910135,50010,91699.75,7.36958530901,36.4085284899,310035.66,151934.45,2015-01-05,2016-03-21
28,2501,AMES,1377465.13,108.078864653,85,19.5971989296,50010,93593.02,7.34350882699,36.1718619066,310718.21,314068.92,2015-01-07,2016-03-30
29,2502,ANKENY,1372226.52,178.745150449,77,19.9641930282,50021,94811.16,12.3500273544,59.8934779211,258284.84,61847.52,2015-01-07,2016-03-30
30,2505,BOONE,659068.44,110.749191732,8,17.0386009074,50036,50095.04,8.41791967737,37.1085548647,150049.71,203644.27,2015-01-07,2016-03-30
31,2506,BURLINGTON,1427795.42,156.883355675,29,19.5405353916,52601,93383.87,10.2608361718,52.4055916932,309568.16,123632.78,2015-01-07,2016-03-30
32,2507,BURLINGTON,299207.06,91.8658458704,29,14.4599166734,52601,25483.92,7.82435369972,30.681099171,66468.32,1050711.75,2015-01-05,2016-03-28
33,2508,CEDAR RAPIDS,1110902.03,144.029823674,57,18.4856671385,52405,79686.32,10.3314300532,48.1333683392,321983.24,149791.31,2015-01-05,2016-03-28
34,2509,CEDAR RAPIDS,555033.56,142.498988447,57,15.3241951608,52404,48798.46,12.5284878049,47.7406803594,115531.13,61560.7,2015-01-06,2016-03-29
35,2512,IOWA CITY,4155454.05,291.202105816,52,19.6143464331,52240,267487.59,18.7447505256,97.2243398739,926706.76,260966.41,2015-01-06,2016-03-29
36,2513,IOWA CITY,649600.5,93.5754105445,52,17.0105726858,52240,46217.98,6.65773264189,31.2923926822,157981.2,160278.07,2015-01-05,2016-03-30
37,2514,MARION,211062.23,105.478375812,57,13.7771414922,50129,21274.89,10.6321289355,35.27017991,51078.36,78108.56,2015-01-07,2016-03-30
38,2515,MASON CITY,1249900.81,95.4268445564,17,18.3657683903,50401,90739.07,6.92770422965,31.9091555963,272703.74,253886.88,2015-01-05,2016-03-28
39,2517,NEWTON,761232.78,87.1374519231,50,17.3445413216,50208,57816.37,6.61817422161,29.1482532051,180760.93,173395.13,2015-01-08,2016-03-31
40,2518,RED OAK,351097.11,97.526975,69,18.8296206451,51566,25648.0,7.12444444444,32.6235916667,72185.66,91524.76,2015-01-05,2016-03-28
41,2521,WEST DES MOINES,1124285.8,143.568611927,77,19.7384356702,50265,77132.69,9.84966032435,47.9893704508,263161.4,247802.36,2015-01-06,2016-03-29
42,2522,SPIRIT LAKE,1095373.34,166.091484458,30,18.1448053878,51360,75881.0,11.5058377559,55.5221865049,164809.62,115591.86,2015-01-05,2016-03-28
43,2523,CENTERVILLE,393364.27,95.4535962145,4,17.8135442682,52544,26002.74,6.30981315215,31.941637952,60986.22,233350.35,2015-01-06,2016-03-29
44,2524,DUBUQUE,990127.21,147.472030086,31,18.9489865764,52001,68392.98,10.1866219839,49.3420628537,210690.45,84940.69,2015-01-07,2016-03-30
45,2527,DES MOINES,625872.53,127.833441585,77,16.285718152,50315,49558.19,10.1221793301,42.8693852124,139068.33,115993.15,2015-01-07,2016-03-29
46,2528,DES MOINES,1003937.68,159.027036274,77,18.1689330451,50315,68182.59,10.8003469032,53.1849073341,209403.19,125207.35,2015-01-05,2016-03-28
47,2529,CEDAR RAPIDS,361772.46,75.6846150628,57,14.7814636823,52405,34740.22,7.26782845188,25.4050062762,75110.03,161300.14,2015-01-05,2016-03-28
48,2532,DES MOINES,580537.29,131.165225938,77,14.6642978195,50317,47241.87,10.6737166742,43.9390962494,123291.57,164939.85,2015-01-06,2016-03-29
49,2535,WEST DES MOINES,668664.11,133.067484577,77,18.3473971403,50265,45980.1,9.15026865672,44.5348318408,157591.18,147632.84,2015-01-05,2016-03-28
50,2536,PLEASANT HILL,725658.41,118.262452738,77,20.7472359071,50317,49849.98,8.12418187744,39.530065189,163684.93,168603.49,2015-01-05,2016-03-28
51,2538,WATERLOO,697563.61,94.1508449183,7,20.2828181666,50702,46497.4,6.27579970306,31.5106033203,146850.63,342772.02,2015-01-07,2016-03-30
52,2539,IOWA FALLS,638415.95,149.757436078,42,17.7816898596,50126,45517.31,10.6772953319,50.1331972789,143950.01,102829.3,2015-01-05,2016-03-28
53,2543,OTTUWMA,644906.75,85.8502063365,90,18.2600928444,52501,44238.08,5.88898828541,28.7115801384,136167.32,216415.08,2015-01-05,2016-03-28
54,2544,MARSHALLTOWN,1378895.08,156.568079936,64,17.7916008627,50158,93707.99,10.6401714545,52.4235630748,327172.32,174492.82,2015-01-07,2016-03-30
55,2545,IOWA CITY,515300.26,71.8088433668,52,20.3189240088,52245,34126.16,4.75559643255,24.0028010033,105869.94,41213.34,2015-01-06,2016-03-29
56,2548,ALTOONA,1022127.41,141.236342407,77,18.0601298364,50009,74156.7,10.246884068,47.3184344342,176266.68,91213.98,2015-01-07,2016-03-30
57,2549,INDIANOLA,762550.21,147.068507232,91,17.2365626663,50125,53367.55,10.29268081,49.1944300868,176720.07,256707.1,2015-01-07,2016-03-30
58,2550,OSCEOLA,197896.72,59.5178105263,20,15.9724959749,50213,14690.5,4.41819548872,19.9170827068,44836.7,75866.02,2015-01-05,2016-03-28
59,2551,CHARITON,362538.52,97.6929452978,59,17.6782035367,50049,26353.1,7.10134734573,32.71362436,65830.25,50434.54,2015-01-08,2016-03-31
60,2552,CEDAR RAPIDS,1096275.42,108.37044484,57,19.37757873,52404,80989.9,8.00611901938,36.2773863187,228680.53,141712.31,2015-01-07,2016-03-30
61,2553,CRESTON,311535.51,105.248483108,88,16.3725471237,50801,23059.89,7.79050337838,35.2223614865,73810.68,91203.94,2015-01-06,2016-03-29
62,2554,DAVENPORT,226665.12,119.675353749,82,11.7317312817,52802,21079.05,11.1293822598,40.0093030623,54655.98,156730.02,2015-01-06,2016-03-29
63,2555,KEOKUK,707265.91,136.564184205,56,18.0717866968,52632,48415.76,9.34847653987,45.5890982815,156056.28,24206.67,2015-01-05,2016-03-28
64,2556,ESTHERVILLE,413576.15,84.4722528595,32,18.2204661048,51334,30898.1,6.31088643791,28.2592197712,80923.05,218335.21,2015-01-05,2016-03-28
65,2558,MOUNT PLEASANT,696512.74,164.894114583,44,18.1261096155,52641,49106.56,11.6256060606,55.1925378788,167606.75,325127.17,2015-01-06,2016-03-29
66,2559,ALBIA,111354.74,86.8601716069,68,16.3551482059,52531,8530.95,6.65440717629,29.106349454,25575.88,94229.41,2015-01-05,2016-03-28
67,2560,MARION,1001421.04,117.002107723,57,18.4001439031,52302,67876.42,7.93041476808,39.1116473887,211902.95,117784.92,2015-01-07,2016-03-30
68,2561,DES MOINES,1424287.11,139.773023553,77,21.3237051338,50321,91746.3,9.003562316,46.7565544652,312502.67,166847.54,2015-01-05,2016-03-28
69,2562,FORT DODGE,386385.34,170.439056021,94,13.82515175,50501,32734.2,14.4394353772,57.2886237318,85217.68,73117.79,2015-01-08,2016-03-31
70,2564,WATERLOO,472882.25,138.229245835,7,15.7827455447,50701,37670.48,11.0115404852,46.2992604502,89525.66,100545.74,2015-01-06,2016-03-29
71,2565,SPENCER,772608.13,76.3522215634,21,18.4579088249,51301,57920.1,5.72389564186,25.5950192707,176252.03,68966.63,2015-01-08,2016-03-31
72,2566,KNOXVILLE,359578.02,109.627445122,63,17.9971094997,50138,25509.61,7.77732012195,36.7157591463,68258.49,96059.65,2015-01-06,2016-03-29
73,2567,DAVENPORT,463904.08,59.7275756405,82,15.4103840221,52806,36964.58,4.75918372602,20.0006463242,88008.31,211600.93,2015-01-07,2016-03-30
74,2568,CEDAR RAPIDS,278515.69,87.0089628241,57,15.0581161902,52402,24922.56,7.78586691659,29.0692439863,67219.54,234774.87,2015-01-08,2016-03-31
75,2569,CEDAR RAPIDS,434542.49,67.8866567724,57,16.9281007088,52402,32228.98,5.03499140759,22.7097016091,100722.77,268226.7,2015-01-07,2016-03-30
76,2571,WATERLOO,850273.55,176.222497409,7,17.4301873133,50703,56377.76,11.6845098446,58.9404393782,147242.83,58122.85,2015-01-05,2016-03-28
77,2572,CEDAR FALLS,1031981.6,77.0135522388,7,18.8054601418,50613,68979.57,5.14772910448,25.7666753731,227702.34,106662.37,2015-01-08,2016-03-31
78,2573,MUSCATINE,1277942.84,147.04209412,70,20.2040042338,52761,87657.69,10.0860303763,49.1620319871,286763.37,147781.41,2015-01-07,2016-03-30
79,2575,WATERLOO,253881.54,101.309473264,7,15.6874670628,50702,19909.31,7.94465682362,33.9956304868,59531.82,67514.95,2015-01-05,2016-03-28
80,2576,STORM LAKE,546067.79,72.9159821071,11,18.2310058343,50588,39649.76,5.29439978635,24.4766550941,122811.86,170466.11,2015-01-06,2016-03-29
81,2578,CHARLES CITY,695175.71,156.254374017,34,15.7782614627,50616,52616.26,11.8265363003,52.3184580805,156513.07,94158.15,2015-01-07,2016-03-30
82,2579,GRINNELL,291872.86,91.2958586175,79,16.7725657905,50112,20144.06,6.300925868,30.5095964967,55538.11,139676.38,2015-01-06,2016-03-29
83,2582,MASON CITY,681479.78,108.412309895,17,17.1970670459,50401,54327.98,8.64269487751,36.2843302577,143498.37,167692.5,2015-01-08,2016-03-31
84,2584,FORT MADISON,445953.2,90.2922048998,56,18.8080123091,52627,29872.2,6.04822838631,30.1712350678,84998.58,180371.58,2015-01-08,2016-03-31
85,2585,ALGONA,663829.05,122.184621756,55,17.0671227285,50511,51477.29,9.47492913676,41.0171194552,138010.02,298889.32,2015-01-05,2016-03-28
86,2587,JOHNSTON,712881.23,59.8959191732,77,19.3218691873,50131,47511.09,3.99185767098,20.0513661569,146424.29,133868.58,2015-01-07,2016-03-30
87,2588,CEDAR RAPIDS,853429.66,136.352398147,57,23.8662188886,52403,53777.79,8.59207381371,45.5986531395,175475.49,39138.81,2015-01-08,2016-03-31
88,2590,CEDAR RAPIDS,1188063.45,107.254983299,57,20.6634795076,52402,79881.67,7.21148957299,35.8870443261,247716.78,343447.68,2015-01-05,2016-03-28
89,2591,ATLANTIC,586945.86,113.37567317,15,17.5711562095,50022,42405.25,8.19108557079,37.9469113386,130512.99,191091.14,2015-01-05,2016-03-28
90,2592,MARSHALLTOWN,183046.27,87.7498897411,64,15.1528906045,50158,16052.42,7.69531160115,29.3906663471,52054.1,184729.87,2015-01-05,2016-03-28
91,2593,CARROLL,1638188.36,193.502050555,14,18.1304755277,51401,115435.18,13.6351500118,64.7439062131,332692.67,37179.58,2015-01-06,2016-03-29
92,2594,SIOUX CITY,766753.79,104.661996997,97,19.0646217078,51106,51038.9,6.96681681682,35.0125088725,135418.28,40160.26,2015-01-08,2016-03-31
93,2595,DENISON,818008.5,155.426277788,24,18.1145919113,51442,59115.72,11.2323237697,52.2156089683,163104.8,40970.96,2015-01-07,2016-03-30
94,2596,OTTUMWA,251059.45,66.913499467,90,15.0803637264,52501,19118.18,5.09546375267,22.4304264392,45612.45,135871.39,2015-01-08,2016-03-31
95,2597,CHEROKEE,242967.96,146.454466546,18,15.4083326875,51012,19803.29,11.9368836649,49.1816335142,56995.82,92843.04,2015-01-07,2016-03-23
96,2600,OSKALOOSA,177137.55,74.8363117871,62,15.001638401,52577,13980.15,5.90627376426,25.0323193916,39867.38,295483.47,2015-01-06,2016-03-29
97,2601,FAIRFIELD,574301.26,137.326939264,51,19.994442454,52556,38169.51,9.12709469154,45.8722118604,133081.37,130377.49,2015-01-05,2015-01-14
98,2602,WEBSTER CITY,467466.77,103.766208657,40,18.0646596168,50595,34933.83,7.7544572697,34.7604217536,108362.38,192747.83,2015-01-07,2016-03-30
99,2603,BETTENDORF,1327654.85,119.705603643,82,20.9628376736,52722,84136.29,7.58599675412,39.9868794518,271021.94,103958.63,2015-01-05,2016-03-28
100,2604,LEMARS,658500.49,103.164732884,75,18.6686060641,51031,47471.98,7.43725207583,34.6033448222,134589.33,106452.13,2015-01-06,2016-03-29
101,2605,CEDAR RAPIDS,826411.3,124.440792049,57,18.1063539254,52402,65612.35,9.8798900768,41.6839918687,216171.01,12380.85,2015-01-07,2016-03-30
102,2606,HUMBOLDT,486319.67,121.823564629,46,16.8944955904,50548,37138.35,9.30319388778,40.8443061122,104354.49,94010.77,2015-01-06,2016-03-22
103,2607,SHENANDOAH,516018.24,133.787461758,73,18.0170578839,51601,35537.05,9.21365050557,44.7063598652,105046.24,51773.27,2015-01-05,2016-03-28
104,2609,AMES,80229.41,62.6302966432,85,17.2195370334,50010,6637.85,5.18177205308,21.1562997658,13677.13,242057.36,2015-01-06,2016-03-29
105,2611,OTTUMWA,463383.34,124.231458445,90,19.0774450768,52501,31910.44,8.55507774799,41.547077748,89053.08,392226.28,2015-01-06,2016-03-29
106,2612,PERRY,230525.48,73.3223536896,25,15.3810896317,50220,18176.3,5.78126590331,24.6607061069,51427.05,369424.59,2015-01-07,2016-03-30
107,2613,COUNCIL BLUFFS,1005793.36,119.922899726,78,18.4270932547,51501,67691.67,8.0710230118,40.1006629307,264408.55,73141.35,2015-01-07,2016-03-30
108,2614,DAVENPORT,1611044.22,150.578953173,82,inf,52807,108327.41,10.1250032713,50.3450808487,294990.21,292690.86,2015-01-08,2016-03-31
109,2616,CLINTON,1578331.78,153.998612548,23,18.6106670038,52732,112940.41,11.0196516733,51.4318879891,358098.75,172189.31,2015-01-05,2016-03-28
110,2618,CEDAR RAPIDS,297636.91,96.6667456967,57,16.4305818515,52402,25175.96,8.17666774927,32.3875251705,68077.3,211032.4,2015-01-07,2016-03-30
111,2619,WEST DES MOINES,1643751.16,160.069253092,77,21.5198243474,50266,96751.57,9.42171292239,53.4813935145,313345.86,171119.44,2015-01-08,2016-03-31
112,2620,WINDSOR HEIGHTS,877806.53,73.4320336289,77,19.0413972627,50311,58081.01,4.85870921867,24.5552275389,163324.44,201433.01,2015-01-05,2016-03-28
113,2621,SIOUX CITY,841587.05,131.14961041,97,19.0532423097,51105,59766.56,9.31378525791,43.8089558984,203099.8,200599.95,2015-01-06,2016-03-28
114,2622,IOWA CITY,749572.74,129.998740895,52,19.2375154372,52240,47858.84,8.30018036767,43.4441935484,104044.33,476439.16,2015-01-06,2016-03-29
115,2623,SIOUX CITY,1052803.92,100.047887485,97,19.5316969575,51104,68471.98,6.50688776965,33.4178523235,202835.96,215106.77,2015-01-07,2016-03-30
116,2624,DUBUQUE,860930.8,132.430518382,31,19.5547633697,52002,62313.45,9.5852099677,44.3454176281,192934.41,204808.54,2015-01-07,2016-03-30
117,2625,DAVENPORT,1922462.4,196.390070487,82,18.8100738134,52804,121929.07,12.45572275,65.5244131168,447305.5,37858.67,2015-01-07,2016-03-30
118,2626,DES MOINES,967141.62,118.857271722,77,19.3655939637,50311,65851.79,8.09288312646,39.7529703822,205170.43,382790.84,2015-01-07,2016-03-29
119,2627,DES MOINES,948741.27,138.381165403,77,18.022909946,50310,59554.77,8.68651837806,46.2175087515,201282.29,58332.41,2015-01-07,2016-03-30
120,2628,ELDORA,156957.12,97.9146101061,42,13.8238130886,50627,13380.75,8.34731752963,32.7325389894,36855.39,2443253.18,2015-01-05,2016-03-31
121,2629,COUNCIL BLUFFS,1626217.05,149.08480473,78,19.8773394833,51503,101359.76,9.29224055739,49.786953612,381036.91,209066.17,2015-01-05,2016-03-31
122,2630,WEST DES MOINES,210602.18,134.570083067,77,16.2905706238,50266,15301.18,9.77711182109,44.9972396166,46509.65,137697.56,2015-01-05,2016-03-28
123,2633,DES MOINES,9839393.08,504.377336477,77,21.2209437469,50320,582860.61,29.878030039,168.245861698,2337324.42,129489.89,2015-01-06,2016-03-29
124,2635,DAVENPORT,1104254.83,147.568465856,82,20.6362747049,52807,65730.2,8.78393692369,49.313768542,208389.88,72810.95,2015-01-05,2016-03-28
125,2636,DES MOINES,637381.7,169.201406955,77,16.6636839807,50317,45112.72,11.9757685161,56.569739846,145742.16,158368.58,2015-01-05,2016-03-31
126,2637,DAVENPORT,895421.04,142.901538462,82,16.2535121656,52804,69803.88,11.1401021385,47.8089690393,187407.93,153305.98,2015-01-08,2016-03-31
127,2641,COUNCIL BLUFFS,289973.92,92.5251818762,78,17.4332727659,51501,23694.76,7.5605488194,30.9038417358,62335.59,289199.43,2015-01-05,2016-03-30
128,2642,PELLA,621728.64,111.480839161,63,17.8168406608,50219,41219.54,7.39098798637,37.2649829658,138878.63,241311.79,2015-01-07,2016-02-24
129,2643,WATERLOO,706949.24,107.24351335,7,21.6608566504,50701,42410.33,6.43360588592,35.850617415,169131.81,343060.63,2015-01-06,2016-03-29
130,2644,FORT DODGE,1265501.83,203.850165915,94,18.2631081286,50501,85670.26,13.7999774485,68.1836227448,280506.28,128500.31,2015-01-07,2016-03-30
131,2647,CEDAR RAPIDS,1024198.39,102.297082501,57,20.7601024165,52411,64547.76,6.44703955254,34.2461556133,223641.14,79554.12,2015-01-05,2016-03-28
132,2648,WEST DES MOINES,1631109.12,137.727697374,77,22.4061868081,50265,94956.52,8.01794477751,46.0017090264,361865.13,191155.87,2015-01-06,2016-03-29
133,2649,DUBUQUE,618545.35,80.3827615335,31,17.0384526619,52001,48134.96,6.2553554256,26.9316699155,134325.62,111207.97,2015-01-05,2016-03-28
134,2650,HARLAN,604878.84,144.396953927,83,18.1962675686,51537,40622.5,9.69742181905,48.3078228694,145361.36,83399.61,2015-01-05,2016-03-28
135,2651,WAVERLY,855359.44,108.068154138,9,18.8296744953,50677,61520.79,7.77268351232,36.216199621,185580.5,25290.33,2015-01-07,2016-03-29
136,2652,MASON CITY,462027.68,110.904387902,17,17.4107517763,50401,36460.5,8.75192030725,37.1569323092,93901.53,20962.08,2015-01-05,2016-02-29
137,2653,WASHINGTON,408083.59,100.094086338,92,19.3242602815,52353,27694.61,6.79288937945,33.5548344371,68438.51,15307.3,2015-01-06,2016-03-29
138,2655,CLARINDA,132559.54,99.2955355805,73,15.5405733012,51632,10256.13,7.68249438202,33.223011236,32698.19,10464.02,2015-01-08,2016-03-31
139,2656,CORNING,99228.46,62.2903075957,22,16.5528719679,51632,6986.03,4.38545511613,20.8197112367,22829.66,52246.46,2015-01-05,2016-03-28
140,2657,BEDFORD,58277.1,47.5731428571,87,16.5923865838,50833,4418.22,3.60671020408,15.8903673469,13141.2,75566.37,2015-01-06,2016-03-29
141,2658,MOUNT AYR,45040.61,105.977905882,80,14.5860896359,50854,3592.8,8.45364705882,35.4949411765,8738.45,103585.1,2015-01-06,2016-03-29
142,2660,SIOUX CENTER,204440.87,77.9119169207,84,16.7128494569,51250,13683.85,5.21488185976,26.0287842988,48441.46,276396.86,2015-01-06,2016-03-29
143,2661,SHELDON,413493.82,110.55984492,71,16.7378437406,51201,31418.1,8.40056149733,37.0314331551,87115.74,305851.47,2015-01-13,2016-03-22
144,2662,MUSCATINE,442825.31,87.2390287628,70,17.1469947178,52761,34726.76,6.84136327817,29.1820981087,102794.01,260453.94,2015-01-06,2016-03-29
145,2663,URBANDALE,1589528.9,216.822930023,77,22.3826935959,50322,91710.57,12.5099672623,72.4642572637,306947.29,30441.76,2015-01-06,2016-03-29
146,2665,WAUKEE,1380679.66,156.00900113,25,20.3278781505,50263,79781.6,9.0148700565,52.1879774011,225615.38,10564.6,2015-01-05,2016-03-28
147,2666,ANKENY,1273759.27,122.417998078,77,25.3980351681,50023,74919.79,7.20036424796,40.9748793849,327334.28,19357.49,2015-01-07,2016-03-31
148,2667,SIOUX CITY,110386.19,71.2168967742,97,15.4746961598,51104,8956.05,5.77809677419,23.8230645161,27114.29,613414.14,2015-01-05,2016-03-28
149,2668,LEON,45146.0,72.1182108626,27,16.4441077134,50144,3093.25,4.94129392971,24.1203833866,7539.14,63793.71,2015-01-05,2016-03-29
150,2669,CORYDON,84863.9,79.6844131455,93,15.4169878217,50060,6390.48,6.00045070423,26.6531361502,20378.73,78706.47,2015-01-07,2016-03-30
151,2670,CORALVILLE,2401418.5,194.825450268,52,19.6474277395,52241,147876.47,11.9971174753,65.067257829,501953.12,22675.76,2015-01-15,2016-03-31
152,2671,JEFFERSON,315681.74,153.766069167,37,17.3157495419,50129,21839.34,10.6377691184,51.4916463712,66097.53,4566.74,2015-01-07,2016-03-23
153,2806,CLINTON,412058.25,110.058293269,23,15.8158355018,52732,32064.47,8.56422809829,36.8113087607,89327.88,14050.14,2015-01-16,2016-03-30
154,2835,CEDAR FALLS,102680.64,104.883186925,7,14.6259649059,50613,8441.61,8.62268641471,35.087834525,20534.72,11883.3,2015-02-05,2016-03-31
155,2836,WATERLOO,21386.56,53.3330673317,7,13.9811037313,50703,1937.29,4.83114713217,17.9033416459,5742.23,11597.18,2015-03-03,2016-03-29
156,2837,WATERLOO,74049.23,114.09742681,7,14.2670376892,50702,6665.35,10.2701848998,38.2349306626,15987.52,23801.1,2015-01-08,2016-03-31
157,2838,DAVENPORT,60017.48,125.55958159,82,14.8217057681,52806,6014.05,12.5816945607,41.9222384937,13518.07,22824.14,2015-01-07,2016-03-30
158,2839,DAVENPORT,51927.6,152.280351906,82,14.2322259911,52804,5476.45,16.0599706745,50.8491202346,17574.68,18957.2,2015-01-15,2016-03-31
159,2840,BETTENDORF,104675.87,108.584927386,82,16.0969788579,52722,11440.5,11.8677385892,36.282033195,24357.22,19832.94,2015-01-05,2016-03-21
160,2841,CEDAR RAPIDS,104580.29,118.57175737,57,13.6939272217,52403,9079.75,10.2945011338,39.7768253968,29611.32,4258.14,2015-01-08,2016-03-31
161,2843,CEDAR RAPIDS,87140.34,49.2596608253,57,16.2468318833,52402,7387.46,4.17606557377,16.4770435274,18571.65,17116.11,2015-01-05,2016-03-28
162,2844,IOWA CITY,83704.3,105.954810127,52,14.2122866184,52240,7395.9,9.36189873418,35.4246202532,18712.28,7499.47,2015-01-07,2016-03-30
163,2845,COUNCIL BLUFFS,29060.73,146.033819095,78,14.8298955618,51503,2207.25,11.0917085427,48.8443718593,8458.2,11367.4,2015-01-05,2016-03-21
164,2846,CEDAR RAPIDS,72167.27,60.543011745,57,15.0426608039,52404,6346.8,5.3244966443,20.2525251678,19089.74,8041.09,2015-01-06,2016-03-29
165,2847,MARION,28070.75,72.5342377261,57,14.7335689676,52302,2566.16,6.63090439276,24.2994315245,7305.46,11966.94,2015-01-07,2016-03-30
166,2848,ANKENY,48539.82,102.404683544,77,14.0116411129,50023,4068.78,8.58392405063,34.2229535865,14796.7,12707.72,2015-01-13,2016-02-09
167,2849,DES MOINES,23528.57,75.6545659164,77,16.3452580003,50320,1720.16,5.53106109325,25.2890353698,8200.55,22130.31,2015-01-07,2016-03-30
168,2850,DES MOINES,46204.77,77.9169814503,77,15.4133228941,50313,3640.5,6.13912310287,26.0607419899,11412.54,20817.32,2015-01-12,2016-03-14
169,2851,FORT DODGE,48536.04,100.28107438,94,14.5946303129,50501,4103.05,8.47737603306,33.6023140496,11228.97,16786.98,2015-01-06,2016-03-15
170,2852,DES MOINES,72949.68,112.057880184,77,14.8783479628,50310,5497.0,8.44393241167,37.4071121352,17232.45,19203.82,2015-01-29,2016-03-03
171,3013,BLOOMFIELD,96100.18,61.8803477141,26,14.5640063778,52537,8001.0,5.15196394076,20.6980424984,21340.78,25302.92,2015-01-07,2016-03-30
172,3041,COLFAX,73642.21,68.3137384045,50,12.8614438113,50054,7046.96,6.53706864564,22.8882189239,16617.85,18650.96,2015-01-06,2016-03-29
